eng,part,level
BRASS:NOUN,NOUN,5
BRAVE:ADJECTIVE,ADJECTIVE,3
BRAVELY:ADVERB,ADVERB,3
BRAVERY:NOUN,NOUN,4
BREAD:NOUN,NOUN,1
BREADTH:NOUN,NOUN,6
BREAK:NOUN,NOUN,4
BREAKABLE:ADJECTIVE,ADJECTIVE,4
BREAKDOWN:NOUN,NOUN,4
BREAKFAST:NOUN,NOUN,1
BREAKTHROUGH:NOUN,NOUN,4
BREAST:NOUN,NOUN,3
BREATH:NOUN,NOUN,4
BREATHE:VERB,VERB,3
BREATHTAKING:ADJECTIVE,ADJECTIVE,4
BREED:VERB,VERB,5
BREED:NOUN,NOUN,4
BREEZE:NOUN,NOUN,3
BRIBE:NOUN,NOUN,5
BRIBE:VERB,VERB,5
BRIBERY:NOUN,NOUN,6
BRICK:NOUN,NOUN,4
BRIDE:NOUN,NOUN,3
BRIDGE:NOUN,NOUN,4
BRIEF:ADJECTIVE,ADJECTIVE,3
BRIEFLY:ADVERB,ADVERB,3
BRIGHT:ADJECTIVE,ADJECTIVE,3
BRIGHTLY:ADVERB,ADVERB,4
BRILLIANT:ADJECTIVE,ADJECTIVE,2
BRILLIANTLY:ADVERB,ADVERB,4
BRING:VERB,VERB,4
BRINK:NOUN,NOUN,6
BROAD:ADJECTIVE,ADJECTIVE,3
BROADBAND:NOUN,NOUN,4
BROADCAST:VERB,VERB,4
BROADEN:VERB,VERB,5
BROADLY:ADVERB,ADVERB,5
BROADMINDED:ADJECTIVE,ADJECTIVE,6
BROCCOLI:NOUN,NOUN,3
BROCHURE:NOUN,NOUN,3
BROKEN:ADJECTIVE,ADJECTIVE,3
BRONZE:NOUN,NOUN,5
BRONZE:ADJECTIVE,ADJECTIVE,6
BROTHER:NOUN,NOUN,1
BROTHER-IN-LAW:NOUN,NOUN,4
BROWN:ADJECTIVE,ADJECTIVE,1
BROWN:NOUN,NOUN,2
BROWSE:VERB,VERB,4
BROWSER:NOUN,NOUN,4
BRUISE:NOUN,NOUN,4
BRUSH:NOUN,NOUN,3
BRUSH:VERB,VERB,3
BRUTAL:ADJECTIVE,ADJECTIVE,5
BUBBLE:NOUN,NOUN,5
BUBBLE:VERB,VERB,5
BUCKET:NOUN,NOUN,3
BUDGET:NOUN,NOUN,4
BUDGET:ADJECTIVE,ADJECTIVE,4
BUG:NOUN,NOUN,3
BUILD:VERB,VERB,2
BUILDER:NOUN,NOUN,3
BULB:NOUN,NOUN,4
BULK:NOUN,NOUN,5
BULKY:ADJECTIVE,ADJECTIVE,5
BULL:NOUN,NOUN,3
BULLET:NOUN,NOUN,4
BULLY:VERB,VERB,5
BULLY:NOUN,NOUN,5
BUMP:VERB,VERB,4
BUMP:NOUN,NOUN,5
BUMPER:NOUN,NOUN,4
BUN:NOUN,NOUN,4
BUNCH:NOUN,NOUN,3
BUNDLE:NOUN,NOUN,6
BURDEN:NOUN,NOUN,5
BUREAUCRACY:NOUN,NOUN,6
BURGER:NOUN,NOUN,2
BURGLAR:NOUN,NOUN,4
BURGLARY:NOUN,NOUN,4
BURGLE:VERB,VERB,4
BURIAL:NOUN,NOUN,6
BURN:VERB,VERB,3
BURNING:ADJECTIVE,ADJECTIVE,4
BURST:VERB,VERB,5
BURY:VERB,VERB,4
BUS:NOUN,NOUN,1
BUSH:NOUN,NOUN,5
BUSINESS:NOUN,NOUN,3
BUSINESSMAN:NOUN,NOUN,2
BUSINESSWOMAN:NOUN,NOUN,2
BUS STATION:NOUN,NOUN,2
BUS STOP:NOUN,NOUN,2
BUSY:ADJECTIVE,ADJECTIVE,2
BUT:CONJUNCTION,CONJUNCTION,2
BUTCHER:NOUN,NOUN,3
BUTTER:NOUN,NOUN,1
BUTTERFLY:NOUN,NOUN,3
BUTTON:NOUN,NOUN,3
BUY:VERB,VERB,1
BUYER:NOUN,NOUN,3
BUZZ:NOUN,NOUN,6
BUZZ:VERB,VERB,6
BYE:EXCLAMATION,EXCLAMATION,1
CAB:NOUN,NOUN,3
CABBAGE:NOUN,NOUN,3
CABIN:NOUN,NOUN,4
CABINET:NOUN,NOUN,4
CABLE:NOUN,NOUN,3
CAF?:NOUN,NOUN,1
CAGE:NOUN,NOUN,3
CAKE:NOUN,NOUN,3
CALCULATE:VERB,VERB,5
CALCULATION:NOUN,NOUN,4
CALCULATOR:NOUN,NOUN,3
CALENDAR:NOUN,NOUN,2
CALF:NOUN,NOUN,4
CALL:VERB,VERB,3
CALL:NOUN,NOUN,3
CALM:ADJECTIVE,ADJECTIVE,3
CALM:VERB,VERB,4
CALMLY:ADVERB,ADVERB,4
CAMEL:NOUN,NOUN,3
CAMERA:NOUN,NOUN,1
CAMP:NOUN,NOUN,3
CAMP:VERB,VERB,2
CAMPAIGN:NOUN,NOUN,5
CAMPAIGN:VERB,VERB,5
CAMPING:NOUN,NOUN,2
CAMPSITE:NOUN,NOUN,3
CAMPUS:NOUN,NOUN,4
CAN1:NOUN,NOUN,2
CAN2:VERB,VERB,2
CANAL:NOUN,NOUN,3
CANCEL:VERB,VERB,3
CANCELLATION:NOUN,NOUN,5
CANCER:NOUN,NOUN,3
CANDIDATE:NOUN,NOUN,3
CANDLE:NOUN,NOUN,3
CANNED:ADJECTIVE,ADJECTIVE,4
CANNOT:VERB,VERB,1
CANTEEN:NOUN,NOUN,3
CAP:NOUN,NOUN,2
CAP:VERB,VERB,5
CAPABILITY:NOUN,NOUN,5
CAPABLE:ADJECTIVE,ADJECTIVE,4
CAPACITY:NOUN,NOUN,4
CAPITAL:NOUN,NOUN,2
CAPITALISM:NOUN,NOUN,6
CAPITALIST:ADJECTIVE,ADJECTIVE,6
CAPITAL LETTER:NOUN,NOUN,2
CAPTAIN:NOUN,NOUN,3
CAPTURE:VERB,VERB,4
CAPTURE:NOUN,NOUN,5
CAR:NOUN,NOUN,1
CARBON:NOUN,NOUN,4
CARBON DIOXIDE:NOUN,NOUN,4
CARBON FOOTPRINT:NOUN,NOUN,4
CARBON MONOXIDE:NOUN,NOUN,4
CARD:NOUN,NOUN,3
CARDBOARD:NOUN,NOUN,4
CARDIGAN:NOUN,NOUN,4
CARE:NOUN,NOUN,3
CARE:VERB,VERB,3
CAREER:NOUN,NOUN,4
CAREFREE:ADJECTIVE,ADJECTIVE,6
CAREFUL:ADJECTIVE,ADJECTIVE,2
CAREFULLY:ADVERB,ADVERB,2
CARELESS:ADJECTIVE,ADJECTIVE,3
CARELESSLY:ADVERB,ADVERB,4
CARELESSNESS:NOUN,NOUN,4
CARGO:NOUN,NOUN,6
CARING:ADJECTIVE,ADJECTIVE,4
CARNIVAL:NOUN,NOUN,4
CAR PARK:NOUN,NOUN,2
CARPET:NOUN,NOUN,2
CARRIAGE:NOUN,NOUN,5
CARROT:NOUN,NOUN,4
CARRY:VERB,VERB,4
CARTOON:NOUN,NOUN,2
CARVE:VERB,VERB,6
CASE:NOUN,NOUN,3
CASH:NOUN,NOUN,2
CASHPOINT:NOUN,NOUN,3
CASSEROLE:NOUN,NOUN,6
CAST:NOUN,NOUN,4
CAST:VERB,VERB,6
CASTLE:NOUN,NOUN,2
CASUAL:ADJECTIVE,ADJECTIVE,3
CASUALLY:ADVERB,ADVERB,4
CASUALTY:NOUN,NOUN,6
CAT:NOUN,NOUN,1
CATALOGUE:NOUN,NOUN,4
CATASTROPHE:NOUN,NOUN,6
CATCH:VERB,VERB,4
CATEGORY:NOUN,NOUN,4
CATER:VERB,VERB,5
CATERING:NOUN,NOUN,4
CATHEDRAL:NOUN,NOUN,2
CATTLE:NOUN,NOUN,3
CAUSE:NOUN,NOUN,5
CAUSE:VERB,VERB,4
CAUTION:NOUN,NOUN,5
CAUTION:VERB,VERB,6
CAUTIOUS:ADJECTIVE,ADJECTIVE,4
CAVE:NOUN,NOUN,3
CD:NOUN,NOUN,1
CD PLAYER:NOUN,NOUN,1
CD-ROM:NOUN,NOUN,3
CEASE:VERB,VERB,4
CEILING:NOUN,NOUN,4
CELEBRATE:VERB,VERB,3
CELEBRATION:NOUN,NOUN,3
CELEBRITY:NOUN,NOUN,3
CELL:NOUN,NOUN,4
CELLAR:NOUN,NOUN,4
CELLO:NOUN,NOUN,4
CEMETERY:NOUN,NOUN,4
CENT:NOUN,NOUN,2
CENTIGRADE:NOUN,NOUN,4
CENTIMETRE:NOUN,NOUN,2
CENTRAL:ADJECTIVE,ADJECTIVE,4
CENTRAL:NOUN,NOUN,6
CENTRAL HEATING:NOUN,NOUN,3
CENTRE:NOUN,NOUN,4
CENTURY:NOUN,NOUN,4
CEREAL:NOUN,NOUN,3
CEREMONY:NOUN,NOUN,3
CERTAIN:ADJECTIVE,ADJECTIVE,3
CERTAIN:NOUN,NOUN,4
CERTAINLY:ADVERB,ADVERB,3
CERTAINTY:NOUN,NOUN,5
CERTIFICATE:NOUN,NOUN,3
CHAIN:NOUN,NOUN,3
CHAIR:NOUN,NOUN,1
CHALLENGE:NOUN,NOUN,4
CHALLENGE:VERB,VERB,4
CHALLENGING:ADJECTIVE,ADJECTIVE,3
CHAMPAGNE:NOUN,NOUN,2
CHAMPION:NOUN,NOUN,4
CHAMPIONSHIP:NOUN,NOUN,3
CHANCE:NOUN,NOUN,4
CHANCELLOR:NOUN,NOUN,6
CHANGE:VERB,VERB,2
CHANGE:NOUN,NOUN,3
CHANGEABLE:ADJECTIVE,ADJECTIVE,5
CHANNEL:NOUN,NOUN,4
CHANNEL:VERB,VERB,6
CHAOS:NOUN,NOUN,4
CHAOTIC:ADJECTIVE,ADJECTIVE,5
CHAPEL:NOUN,NOUN,6
CHAPTER:NOUN,NOUN,3
CHARACTER:NOUN,NOUN,4
CHARACTERISTIC:NOUN,NOUN,4
CHARACTERISTIC:ADJECTIVE,ADJECTIVE,6
CHARGE:VERB,VERB,3
CHARGE:NOUN,NOUN,4
CHARISMA:NOUN,NOUN,6
CHARISMATIC:ADJECTIVE,ADJECTIVE,6
CHARITY:NOUN,NOUN,4
CHARM:NOUN,NOUN,5
CHARM:VERB,VERB,6
CHARMING:ADJECTIVE,ADJECTIVE,3
CHART:NOUN,NOUN,4
CHASE:VERB,VERB,4
CHAT:VERB,VERB,2
CHAT:NOUN,NOUN,2
CHAT SHOW:NOUN,NOUN,3
CHATTY:ADJECTIVE,ADJECTIVE,5
CHEAP:ADJECTIVE,ADJECTIVE,3
CHEAT:VERB,VERB,4
CHECK:VERB,VERB,3
CHECK:NOUN,NOUN,3
CHECK-IN (COUNTER):NOUN,NOUN,3
CHECK-IN (DESK):NOUN,NOUN,3
CHECKOUT:NOUN,NOUN,3
CHEEK:NOUN,NOUN,3
CHEEKY:ADJECTIVE,ADJECTIVE,4
CHEER:VERB,VERB,4
CHEER:NOUN,NOUN,6
CHEERFUL:ADJECTIVE,ADJECTIVE,3
CHEERFULLY:ADVERB,ADVERB,4
CHEERFULNESS:NOUN,NOUN,6
CHEERS!:EXCLAMATION,EXCLAMATION,3
CHEESE:NOUN,NOUN,1
CHEF:NOUN,NOUN,2
CHEMICAL:NOUN,NOUN,4
CHEMICAL:ADJECTIVE,ADJECTIVE,4
CHEMIST:NOUN,NOUN,2
CHEMISTRY:NOUN,NOUN,2
CHEQUE:NOUN,NOUN,2
CHERRY:NOUN,NOUN,4
CHESS:NOUN,NOUN,2
CHEST:NOUN,NOUN,5
CHEST OF DRAWERS:NOUN,NOUN,3
CHEW:VERB,VERB,4
CHEWING GUM:NOUN,NOUN,3
CHICKEN:NOUN,NOUN,2
CHIEF:NOUN,NOUN,4
CHIEF:NOUN,NOUN,4
CHILD:NOUN,NOUN,1
CHILDHOOD:NOUN,NOUN,3
CHILDISH:ADJECTIVE,ADJECTIVE,4
CHILL:VERB,VERB,4
CHILL:NOUN,NOUN,6
CHILLI:NOUN,NOUN,2
CHILLY:ADJECTIVE,ADJECTIVE,5
CHIMNEY:NOUN,NOUN,4
CHIN:NOUN,NOUN,3
CHIP:NOUN,NOUN,3
CHIP:VERB,VERB,6
CHOCOLATE:NOUN,NOUN,1
CHOICE:NOUN,NOUN,3
CHOIR:NOUN,NOUN,4
CHOLESTEROL:NOUN,NOUN,5
CHOOSE:VERB,VERB,2
CHOP:VERB,VERB,4
CHORE:NOUN,NOUN,5
CHRONIC:ADJECTIVE,ADJECTIVE,6
CHURCH:NOUN,NOUN,2
CIGARETTE:NOUN,NOUN,2
CINEMA:NOUN,NOUN,3
CIRCLE:NOUN,NOUN,3
CIRCLE:VERB,VERB,4
CIRCUIT:NOUN,NOUN,6
CIRCULAR:ADJECTIVE,ADJECTIVE,5
CIRCULATION:NOUN,NOUN,6
CIRCUMSTANCE:NOUN,NOUN,4
CIRCUS:NOUN,NOUN,3
CITIZEN:NOUN,NOUN,4
CITY:NOUN,NOUN,1
CIVIL:ADJECTIVE,ADJECTIVE,5
CIVILIAN:NOUN,NOUN,6
CIVILIZATION (ALSO CIVILISATION):NOUN,NOUN,4
CLAIM:VERB,VERB,4
CLAIM:NOUN,NOUN,4
CLAP:VERB,VERB,3
CLAP:NOUN,NOUN,6
CLARIFICATION:NOUN,NOUN,5
CLARIFY:VERB,VERB,5
CLARITY:NOUN,NOUN,6
CLASH:VERB,VERB,6
CLASH:NOUN,NOUN,6
CLASS:NOUN,NOUN,2
CLASS:VERB,VERB,5
CLASSIC:ADJECTIVE,ADJECTIVE,4
CLASSIC:NOUN,NOUN,4
CLASSICAL:ADJECTIVE,ADJECTIVE,4
CLASSIFICATION:NOUN,NOUN,6
CLASSIFY:VERB,VERB,5
CLASSMATE:NOUN,NOUN,2
CLASSROOM:NOUN,NOUN,1
CLAUSE:NOUN,NOUN,4
CLEAN:ADJECTIVE,ADJECTIVE,3
CLEAN:VERB,VERB,1
CLEANER:NOUN,NOUN,3
CLEAR:ADJECTIVE,ADJECTIVE,3
CLEAR:VERB,VERB,4
CLEAR:NOUN,NOUN,6
CLEAR:ADVERB,ADVERB,6
CLEARLY:ADVERB,ADVERB,2
CLEVER:ADJECTIVE,ADJECTIVE,2
CLICH:NOUN,NOUN,6
CLICH:ADJECTIVE,ADJECTIVE,6
CLICK:VERB,VERB,5
CLICK:NOUN,NOUN,2
CLIENT:NOUN,NOUN,4
CLIFF:NOUN,NOUN,3
CLIMATE:NOUN,NOUN,4
CLIMATE CHANGE:NOUN,NOUN,4
CLIMB:VERB,VERB,3
CLIMBING:NOUN,NOUN,2
CLING:VERB,VERB,6
CLINIC:NOUN,NOUN,3
CLINICAL:ADJECTIVE,ADJECTIVE,5
CLOCK:NOUN,NOUN,3
CLOSE:VERB,VERB,3
CLOSE:ADJECTIVE,ADJECTIVE,1
CLOSED:ADJECTIVE,ADJECTIVE,3
CLOSELY:ADVERB,ADVERB,4
CLOSENESS:NOUN,NOUN,5
CLOSURE:NOUN,NOUN,6
CLOTH:NOUN,NOUN,4
CLOTHES:NOUN,NOUN,1
CLOTHING:NOUN,NOUN,4
CLOUD:NOUN,NOUN,4
CLOUD:VERB,VERB,6
CLOUDY:ADJECTIVE,ADJECTIVE,2
CLOWN:NOUN,NOUN,2
CLUB:NOUN,NOUN,2
CLUE:NOUN,NOUN,4
CLUMSINESS:NOUN,NOUN,6
CLUMSY:ADJECTIVE,ADJECTIVE,4
CLUTCH:VERB,VERB,6
CLUTCH:NOUN,NOUN,5
COACH:NOUN,NOUN,2
COACH:VERB,VERB,4
COACHING:NOUN,NOUN,4
COAL:NOUN,NOUN,5
COAST:NOUN,NOUN,3
COASTAL:ADJECTIVE,ADJECTIVE,4
COASTLINE:NOUN,NOUN,6
COAT:NOUN,NOUN,1
COCONUT:NOUN,NOUN,3
COD:NOUN,NOUN,3
CODE:NOUN,NOUN,4
COFFEE:NOUN,NOUN,1
COHERENCE:NOUN,NOUN,6
COHERENT:ADJECTIVE,ADJECTIVE,6
COIN:NOUN,NOUN,3
COIN:VERB,VERB,6
COINCIDE:VERB,VERB,6
COINCIDENCE:NOUN,NOUN,4
COLA:NOUN,NOUN,2
COLD:ADJECTIVE,ADJECTIVE,3
COLD:NOUN,NOUN,3
COLDNESS:NOUN,NOUN,6
COLLABORATE:VERB,VERB,5
COLLABORATION:NOUN,NOUN,5
COLLAPSE:VERB,VERB,4
COLLAPSE:NOUN,NOUN,4
COLLAR:NOUN,NOUN,3
COLLEAGUE:NOUN,NOUN,2
COLLECT:VERB,VERB,3
COLLECTION:NOUN,NOUN,3
COLLECTOR:NOUN,NOUN,4
COLLEGE:NOUN,NOUN,2
COLLOCATION:NOUN,NOUN,4
COLON:NOUN,NOUN,4
COLOUR:NOUN,NOUN,4
COLOUR:VERB,VERB,3
COLOURFUL:ADJECTIVE,ADJECTIVE,3
COLUMN:NOUN,NOUN,4
COMB:NOUN,NOUN,2
COMB:VERB,VERB,3
COMBAT:NOUN,NOUN,6
COMBAT:VERB,VERB,6
COMBINATION:NOUN,NOUN,4
COMBINE:VERB,VERB,4
COMEBACK:NOUN,NOUN,6
COMEDIAN:NOUN,NOUN,4
COMEDY:NOUN,NOUN,3
COMFORT:NOUN,NOUN,5
COMFORT:VERB,VERB,6
COMFORTABLE:ADJECTIVE,ADJECTIVE,3
COMFORTABLY:ADVERB,ADVERB,4
COMFORTING:ADJECTIVE,ADJECTIVE,6
COMIC:NOUN,NOUN,2
COMIC:ADJECTIVE,ADJECTIVE,3
COMMA:NOUN,NOUN,3
COMMAND:NOUN,NOUN,4
COMMANDER:NOUN,NOUN,6
COMMEMORATE:VERB,VERB,6
COMMENCE:VERB,VERB,6
COMMENT:NOUN,NOUN,4
COMMENT:VERB,VERB,4
COMMERCE:NOUN,NOUN,4
COMMERCIAL:NOUN,NOUN,4
COMMERCIAL:ADJECTIVE,ADJECTIVE,5
COMMIT:VERB,VERB,5
COMMITMENT:NOUN,NOUN,4
COMMITTED:ADJECTIVE,ADJECTIVE,6
COMMITTEE:NOUN,NOUN,4
COMMODITY:NOUN,NOUN,5
COMMON:ADJECTIVE,ADJECTIVE,3
COMMON:NOUN,NOUN,6
COMMON:NOUN,NOUN,4
COMMONLY:ADVERB,ADVERB,5
COMMON SENSE:NOUN,NOUN,3
COMMUNICATE:VERB,VERB,3
COMMUNICATION:NOUN,NOUN,3
COMMUNICATIVE:ADJECTIVE,ADJECTIVE,4
COMMUNITY:NOUN,NOUN,4
COMMUTE:VERB,VERB,5
COMPANION:NOUN,NOUN,4
COMPANY:NOUN,NOUN,3
COMPARABLE:ADJECTIVE,ADJECTIVE,5
COMPARATIVE:NOUN,NOUN,2
COMPARATIVE:ADJECTIVE,ADJECTIVE,5
COMPARATIVELY:ADVERB,ADVERB,5
COMPARE:VERB,VERB,4
COMPARISON:NOUN,NOUN,4
COMPATIBLE:ADJECTIVE,ADJECTIVE,5
COMPEL:VERB,VERB,5
COMPENSATE:VERB,VERB,5
COMPETE:VERB,VERB,3
COMPETENCE:NOUN,NOUN,5
COMPETENT:ADJECTIVE,ADJECTIVE,5
COMPETITION:NOUN,NOUN,3
COMPETITIVE:ADJECTIVE,ADJECTIVE,4
COMPETITOR:NOUN,NOUN,3
COMPILE:VERB,VERB,5
COMPLAIN:VERB,VERB,3
COMPLAINT:NOUN,NOUN,4
COMPLETE:VERB,VERB,2
COMPLETE:ADJECTIVE,ADJECTIVE,3
COMPLETELY:ADVERB,ADVERB,3
COMPLETION:NOUN,NOUN,5
COMPLEX:ADJECTIVE,ADJECTIVE,4
COMPLEX:NOUN,NOUN,5
COMPLEXION:NOUN,NOUN,6
COMPLEXITY:NOUN,NOUN,6
COMPLICATE:VERB,VERB,5
COMPLICATED:ADJECTIVE,ADJECTIVE,3
COMPLICATION:NOUN,NOUN,5
COMPLIMENT:NOUN,NOUN,6
COMPLIMENT:VERB,VERB,5
COMPLIMENTARY:ADJECTIVE,ADJECTIVE,6
COMPLY:VERB,VERB,5
COMPONENT:NOUN,NOUN,5
COMPOSE:VERB,VERB,4
COMPOSER:NOUN,NOUN,4
COMPOSITION:NOUN,NOUN,5
COMPREHENSIVE:ADJECTIVE,ADJECTIVE,5
COMPREHENSIVELY:ADVERB,ADVERB,5
COMPRISE:VERB,VERB,5
COMPROMISE:NOUN,NOUN,4
COMPROMISE:VERB,VERB,5
COMPULSIVE:ADJECTIVE,ADJECTIVE,6
COMPULSORY:ADJECTIVE,ADJECTIVE,4
COMPUTER:NOUN,NOUN,1
CONCEAL:VERB,VERB,6
CONCEDE:VERB,VERB,6
CONCEITED:ADJECTIVE,ADJECTIVE,6
CONCEIVE:VERB,VERB,6
CONCENTRATE:VERB,VERB,4
CONCENTRATION:NOUN,NOUN,5
CONCEPT:NOUN,NOUN,4
CONCEPTION:NOUN,NOUN,6
CONCERN:VERB,VERB,4
CONCERN:NOUN,NOUN,4
CONCERNED:ADJECTIVE,ADJECTIVE,4
CONCERT:NOUN,NOUN,2
CONCESSION:NOUN,NOUN,6
CONCLUDE:VERB,VERB,5
CONCLUSION:NOUN,NOUN,5
CONCLUSIVE:ADJECTIVE,ADJECTIVE,6
CONCLUSIVELY:ADVERB,ADVERB,6
CONCRETE:NOUN,NOUN,4
CONCRETE:ADJECTIVE,ADJECTIVE,5
CONDEMN:VERB,VERB,6
CONDITION:NOUN,NOUN,3
CONDITION:VERB,VERB,6
CONDUCT:VERB,VERB,4
CONDUCTOR:NOUN,NOUN,4
CONFERENCE:NOUN,NOUN,3
CONFESS:VERB,VERB,4
CONFESSION:NOUN,NOUN,4
CONFIDENCE:NOUN,NOUN,5
CONFIDENT:ADJECTIVE,ADJECTIVE,3
CONFIDENTIAL:ADJECTIVE,ADJECTIVE,5
CONFIDENTLY:ADVERB,ADVERB,4
CONFINE:VERB,VERB,6
CONFIRM:VERB,VERB,3
CONFIRMATION:NOUN,NOUN,4
CONFLICT:NOUN,NOUN,4
CONFRONT:VERB,VERB,6
CONFRONTATION:NOUN,NOUN,6
CONFUSE:VERB,VERB,4
CONFUSED:ADJECTIVE,ADJECTIVE,3
CONFUSING:ADJECTIVE,ADJECTIVE,3
CONFUSION:NOUN,NOUN,4
CONGESTION:NOUN,NOUN,5
CONGRATULATE:VERB,VERB,4
CONGRATULATIONS:EXCLAMATION,EXCLAMATION,2
CONJUNCTION:NOUN,NOUN,4
CONNECT:VERB,VERB,4
CONNECTION:NOUN,NOUN,3
CONQUER:VERB,VERB,5
CONSCIENCE:NOUN,NOUN,6
CONSCIENTIOUS:ADJECTIVE,ADJECTIVE,5
CONSCIOUS:ADJECTIVE,ADJECTIVE,5
CONSCIOUSNESS:NOUN,NOUN,4
CONSECUTIVE:ADJECTIVE,ADJECTIVE,6
CONSENSUS:NOUN,NOUN,6
CONSENT:NOUN,NOUN,5
CONSENT:VERB,VERB,6
CONSEQUENCE:NOUN,NOUN,4
CONSEQUENTLY:ADVERB,ADVERB,4
CONSERVATION:NOUN,NOUN,4
CONSERVATIVE:ADJECTIVE,ADJECTIVE,5
CONSIDER:VERB,VERB,4
CONSIDERABLE:ADJECTIVE,ADJECTIVE,4
CONSIDERABLY:ADVERB,ADVERB,4
CONSIDERATE:ADJECTIVE,ADJECTIVE,5
CONSIDERATION:NOUN,NOUN,4
CONSIST:VERB,VERB,3
CONSISTENT:ADJECTIVE,ADJECTIVE,6
CONSISTENTLY:ADVERB,ADVERB,6
CONSONANT:NOUN,NOUN,4
CONSTANTLY:ADVERB,ADVERB,4
CONSTITUTE:VERB,VERB,5
CONSTITUTION:NOUN,NOUN,5
CONSTITUTIONAL:ADJECTIVE,ADJECTIVE,6
CONSTRAIN:VERB,VERB,6
CONSTRAINT:NOUN,NOUN,6
CONSTRUCT:VERB,VERB,4
CONSTRUCTION:NOUN,NOUN,4
CONSTRUCTIVE:ADJECTIVE,ADJECTIVE,5
CONSULT:VERB,VERB,5
CONSULTANT:NOUN,NOUN,4
CONSULTATION:NOUN,NOUN,6
CONSUME:VERB,VERB,5
CONSUMER:NOUN,NOUN,4
CONSUMPTION:NOUN,NOUN,5
CONTACT:NOUN,NOUN,4
CONTACT:VERB,VERB,2
CONTAIN:VERB,VERB,4
CONTAINER:NOUN,NOUN,4
CONTEMPLATE:VERB,VERB,6
CONTEMPORARY:ADJECTIVE,ADJECTIVE,4
CONTEMPT:NOUN,NOUN,6
CONTENT:ADJECTIVE,ADJECTIVE,4
CONTENT:NOUN,NOUN,5
CONTENTS:NOUN,NOUN,3
CONTEST:NOUN,NOUN,3
CONTESTANT:NOUN,NOUN,5
CONTEXT:NOUN,NOUN,4
CONTINENT:NOUN,NOUN,3
CONTINENTAL:ADJECTIVE,ADJECTIVE,6
CONTINUAL:ADJECTIVE,ADJECTIVE,5
CONTINUALLY:ADVERB,ADVERB,5
CONTINUE:VERB,VERB,3
CONTINUITY:NOUN,NOUN,6
CONTINUOUS:ADJECTIVE,ADJECTIVE,4
CONTINUOUSLY:ADVERB,ADVERB,4
CONTRACEPTION:NOUN,NOUN,6
CONTRACEPTIVE:NOUN,NOUN,6
CONTRACT:NOUN,NOUN,3
CONTRACT:VERB,VERB,6
CONTRADICT:VERB,VERB,5
CONTRADICTION:NOUN,NOUN,6
CONTRADICTORY:ADJECTIVE,ADJECTIVE,6
CONTRARY:NOUN,NOUN,4
CONTRARY:ADJECTIVE,ADJECTIVE,5
CONTRAST:NOUN,NOUN,4
CONTRAST:VERB,VERB,6
CONTRIBUTE:VERB,VERB,4
CONTRIBUTION:NOUN,NOUN,4
CONTROL:VERB,VERB,3
CONTROL:NOUN,NOUN,4
CONTROVERSIAL:ADJECTIVE,ADJECTIVE,4
CONTROVERSY:NOUN,NOUN,5
CONVENIENCE:NOUN,NOUN,4
CONVENIENT:ADJECTIVE,ADJECTIVE,3
CONVENIENTLY:ADVERB,ADVERB,4
CONVENTION:NOUN,NOUN,5
CONVENTIONAL:ADJECTIVE,ADJECTIVE,4
CONVERSATION:NOUN,NOUN,3
CONVERSION:NOUN,NOUN,6
CONVERT:VERB,VERB,5
CONVEY:VERB,VERB,5
CONVICT:VERB,VERB,6
CONVICTION:NOUN,NOUN,6
CONVINCE:VERB,VERB,3
CONVINCED:ADJECTIVE,ADJECTIVE,4
CONVINCING:ADJECTIVE,ADJECTIVE,5
COOK:VERB,VERB,1
COOK:NOUN,NOUN,2
COOKER:NOUN,NOUN,2
COOKIE:NOUN,NOUN,6
COOKING:NOUN,NOUN,2
COOL:EXCLAMATION,EXCLAMATION,2
COOL:ADJECTIVE,ADJECTIVE,4
COOL:VERB,VERB,4
COOL:NOUN,NOUN,5
COOLNESS:NOUN,NOUN,5
COOPERATE (ALSO CO-OPERATE):VERB,VERB,4
COOPERATION (ALSO CO-OPERATION):NOUN,NOUN,4
COOPERATIVE:ADJECTIVE,ADJECTIVE,4
COPE:VERB,VERB,4
COPPER:NOUN,NOUN,4
COPY:VERB,VERB,3
COPY:NOUN,NOUN,3
CORAL:NOUN,NOUN,6
CORE:NOUN,NOUN,6
CORN:NOUN,NOUN,3
CORNER:NOUN,NOUN,5
CORPORATE:NOUN,NOUN,5
CORPORATION:NOUN,NOUN,4
CORPSE:NOUN,NOUN,6
CORRECT:ADJECTIVE,ADJECTIVE,2
CORRECT:VERB,VERB,4
CORRECTION:NOUN,NOUN,3
CORRECTLY:ADVERB,ADVERB,3
CORRESPOND:VERB,VERB,4
CORRESPONDING:NOUN,NOUN,6
CORRIDOR:NOUN,NOUN,4
CORRUPT:ADJECTIVE,ADJECTIVE,5
CORRUPT:VERB,VERB,5
CORRUPTION:NOUN,NOUN,5
COSMOPOLITAN:ADJECTIVE,ADJECTIVE,5
COST:NOUN,NOUN,3
COST:VERB,VERB,3
COSTUME:NOUN,NOUN,4
COSY:ADJECTIVE,ADJECTIVE,3
COTTAGE:NOUN,NOUN,3
COTTON:NOUN,NOUN,3
COUGH:VERB,VERB,3
COUGH:NOUN,NOUN,3
COULD:VERB,VERB,3
COUNCIL:NOUN,NOUN,4
COUNSELLING:NOUN,NOUN,6
